vela012.txt - 20516 - 13344500
$MVUP,1521370,45411115,N,11892967,E,0.35,K,180,C,4.34,-21.21,119.16,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1522640,45411015,N,11892835,E,1.17,K,24,C,3.89,-21.40,121.01,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1523642,45411013,N,11892835,E,0.72,K,17,C,3.43,-20.56,122.70,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1524638,45411008,N,11892832,E,0.19,K,287,C,2.64,-19.79,126.30,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1525640,45411000,N,11892828,E,0.81,K,221,C,2.95,-18.74,129.50,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1526641,45410997,N,11892827,E,0.80,K,217,C,3.28,-17.51,129.17,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1527639,45410998,N,11892830,E,0.20,K,225,C,3.85,-17.06,128.67,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1528640,45410998,N,11892830,E,0.20,K,290,C,3.82,-6.87,115.52,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1529635,45411002,N,11892833,E,0.50,K,229,C,-2.11,-13.26,115.27,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1530635,45411000,N,11892832,E,1.30,K,214,C,-2.37,-13.96,116.68,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1531639,45411000,N,11892832,E,0.19,K,306,C,-3.16,-14.10,118.37,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1532620,45410997,N,11892832,E,0.48,K,23,C,-3.04,-14.04,117.58,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1533649,45410993,N,11892832,E,0.22,K,288,C,-3.17,-14.00,118.78,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1534651,45410990,N,11892833,E,0.54,K,206,C,-3.81,-13.29,119.97,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1535649,45410988,N,11892837,E,0.26,K,350,C,-3.83,-13.00,119.85,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1536636,45410992,N,11892842,E,0.17,K,64,C,-3.90,-12.75,119.78,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1537635,45410995,N,11892848,E,0.57,K,33,C,-2.91,-12.56,130.16,RPY,0,WS,0,0,WD,0.00,0.00,L
$MVUP,1538634,45410998,N,11892855,E,0.93,K,33,C,-4.68,-10.44,126.58,RPY,0,WS,0,0,WD,0.00,0.00,L
